Hang Nadim International Airport,BTH,27.0
Theodore Francis Green State Airport,PVD,27.0
Stockholm-Bromma Airport,BMA,27.0
Ndjili International Airport,FIH,27.0
Syracuse Hancock International Airport,SYR,26.0
Jose Maria Córdova International Airport,MDE,26.0
El Alto International Airport,LPB,26.0
Zadar Airport,ZAD,26.0
Modlin Airport,WMI,26.0
Tunxi International Airport,TXN,26.0
Vladivostok International Airport,VVO,26.0
Palm Springs International Airport,PSP,26.0
Sochi International Airport,AER,26.0
"Tromsø Airport,",TOS,26.0
Robert Gabriel Mugabe International Airport,HRE,26.0
Owen Roberts International Airport,GCM,25.0
Exeter International Airport,EXT,25.0
Lamezia Terme Airport,SUF,25.0
General Ignacio P. Garcia International Airport,HMO,25.0
Piedmont Triad International Airport,GSO,25.0
Ordos Ejin Horo Airport,DSN,25.0
Kuching International Airport,KCH,25.0
Rankin Inlet Airport,YRT,25.0
Montpellier-Méditerranée Airport,MPL,24.0
Miri Airport,MYY,24.0
Maya-Maya Airport,BZV,24.0
Libreville Leon M'ba International Airport,LBV,24.0
Ahwaz Airport,AWZ,24.0
Viru Viru International Airport,VVI,24.0
El Paso International Airport,ELP,24.0
Daniel Oduber Quiros International Airport,LIR,24.0
Ontario International Airport,ONT,24.0
Toussaint Louverture International Airport,PAP,24.0
Northwest Arkansas Regional Airport,XNA,24.0
Wattay International Airport,VTE,24.0
Yichang Sanxia Airport,YIH,24.0
Xishuangbanna Gasa Airport,JHG,24.0
Bethel Airport,BET,23.0
Savannah Hilton Head International Airport,SAV,23.0
Brunei International Airport,BWN,23.0
Skopje Alexander the Great Airport,SKP,23.0
Honiara International Airport,HIR,23.0
Aden International Airport,ADE,23.0
Carrasco International /General C L Berisso Airport,MVD,23.0
Benina International Airport,BEN,23.0
Memmingen Allgau Airport,FMM,23.0
Djibouti-Ambouli Airport,JIB,23.0
Nome Airport,OME,23.0
Westchester County Airport,HPN,23.0
Martinique Aimé Césaire International Airport,FDF,23.0
João Paulo II Airport,PDL,23.0
Sir Grantley Adams International Airport,BGI,23.0
Ufa International Airport,UFA,23.0
Ramón Villeda Morales International Airport,SAP,23.0
Roshchino International Airport,TJM,22.0
Akron Canton Regional Airport,CAK,22.0
Kiev Zhuliany International Airport,IEV,22.0
Brindisi – Salento Airport,BDS,22.0
Jerez Airport,XRY,22.0
Dresden Airport,DRS,22.0
St. John's International Airport,YYT,22.0
Lungi International Airport,FNA,22.0
Mineralnyye Vody Airport,MRV,22.0
Mianyang Airport,MIG,22.0
Sept-Îles Airport,YZV,21.0
George Best Belfast City Airport,BHD,21.0
Glasgow Prestwick Airport,PIK,21.0
Dayong Airport,DYG,21.0
King Shaka International Airport,DUR,21.0
Sam Ratulangi Airport,MDC,21.0
Cluj-Napoca International Airport,CLJ,21.0
Poznań-Ławica Airport,POZ,21.0
Fairbanks International Airport,FAI,21.0
Boise Air Terminal/Gowen Field,BOI,21.0
Priština International Airport,PRN,21.0
Hercílio Luz International Airport,FLN,21.0
Santa Genoveva Airport,GYN,21.0
Aktau Airport,SCO,21.0
Pensacola Regional Airport,PNS,21.0
Husein Sastranegara International Airport,BDO,21.0
Lihue Airport,LIH,21.0
Ellison Onizuka Kona International At Keahole Airport,KOA,20.0
Harrisburg International Airport,MDT,20.0
Karlsruhe Baden-Baden Airport,FKB,20.0
Calvi-Sainte-Catherine Airport,CLY,20.0
Chinggis Khaan International Airport,ULN,20.0
Beihai Airport,BHY,20.0
Xuzhou Guanyin Airport,XUZ,20.0
Philip S. W. Goldson International Airport,BZE,20.0
Fresno Yosemite International Airport,FAT,20.0
Del Caribe Santiago Mariño International Airport,PMV,20.0
San Javier Airport,MJV,20.0
