name,icao,score
Enrique Olaya Herrera Airport,SKMD,1.469251453024784
Madeira Airport,LPMA,1.4686898743530645
Zhuhai Jinwan Airport,ZGSD,1.4682044287496872
Piarco International Airport,TTPP,1.463579331772294
Kangerlussuaq Airport,BGSF,1.4598259848828186
Khabarovsk-Novy Airport,UHHH,1.4585777850234043
Billund Airport,EKBI,1.4578900722434236
Frankfurt-Hahn Airport,EDFH,1.4557208300192412
Mount Isa Airport,YBMA,1.4448343757574067
Palm Beach International Airport,KPBI,1.4416812352472568
Ahwaz Airport,OIAW,1.4393007509794142
St Petersburg Clearwater International Airport,KPIE,1.433002018289994
Ioannis Kapodistrias International Airport,LGKR,1.431870877576892
Taipei Songshan Airport,RCSS,1.422359448789636
Peretola Airport,LIRQ,1.4196260382951253
Edward G. Pitka Sr Airport,PAGA,1.417967164974441
Ciampino–G. B. Pastine International Airport,LIRA,1.416043992114934
Jacksonville International Airport,KJAX,1.4149564199053835
Sangster International Airport,MKJS,1.4118805067058613
Eros Airport,FYWE,1.4088082793020154
Ajaccio-Napoléon Bonaparte Airport,LFKJ,1.4085059402956621
Ilulissat Airport,BGJN,1.4078003711684042
Townsville Airport,YBTL,1.4008020948198043
Nusatupe Airport,AGGN,1.3984813696132912
Wattay International Airport,VLVT,1.3969605945880372
Yantai Laishan Airport,ZSYT,1.3927943262405287
Bremen Airport,EDDW,1.389002973530617
Santa Genoveva Airport,SBGO,1.3872846001642798
Dallas Love Field,KDAL,1.384352243778562
Kuching International Airport,WBGG,1.3830302096440332
Hato International Airport,TNCC,1.381027099262439
Zagreb Airport,LDZA,1.375838825907224
Split Airport,LDSP,1.3744749696312877
Tokua Airport,AYTK,1.3704206703669404
Maputo Airport,FQMA,1.3691291742093417
Will Rogers World Airport,KOKC,1.3643005262203276
Olbia Costa Smeralda Airport,LIEO,1.3642132319699354
Borg El Arab International Airport,HEBA,1.3553183006170606
Ouagadougou Airport,DFFD,1.3542688703651924
Del Caribe Santiago Mariño International Airport,SVMG,1.3526114316875602
Tanna Airport,NVVW,1.350694699258889
Cold Bay Airport,PACD,1.3495749510680164
Myrtle Beach International Airport,KMYR,1.3474243597620903
"Pattimura Airport, Ambon",WAPP,1.3466381655313986
St. John's International Airport,CYYT,1.3463645347406041
Marcos A. Gelabert International Airport,MPMG,1.3447339083529972
Roland Garros Airport,FMEE,1.3436340597777379
Bari Karol Wojtyła Airport,LIBD,1.3434924525425291
King Salmon Airport,PAKN,1.3410683208996677
Kos Airport,LGKO,1.3361983360947676
Peshawar International Airport,OPPS,1.3295749748763481
Chania International Airport,LGSA,1.3261153020382883
Jose Maria Córdova International Airport,SKRG,1.3209887870633452
King Shaka International Airport,FALE,1.31849174120997
Louisville International Standiford Field,KSDF,1.31792092689113
Quinhagak Airport,PAQH,1.3133180113760967
Adi Sutjipto International Airport,WARJ,1.3126768646863263
Nadzab Airport,AYNZ,1.307059756280462
Khudzhand Airport,UTDL,1.3065650977521561
Maya-Maya Airport,FCBB,1.2998901735729629
V.C. Bird International Airport,TAPA,1.2968444394427319
Kilimanjaro International Airport,HTKJ,1.2891031150217824
Norman Wells Airport,CYVQ,1.286963125383218
Deadhorse Airport,PASC,1.2784354075512303
Carrasco International /General C L Berisso Airport,SUMU,1.2767077356898728
Narsarsuaq Airport,BGBW,1.2752168991849109
Nuremberg Airport,EDDN,1.2722726648146812
Cagliari Elmas Airport,LIEE,1.2682738383960015
Leite Lopes Airport,SBRP,1.2577417811679465
Esfahan Shahid Beheshti International Airport,OIFM,1.256388941055405
João Paulo II Airport,LPPD,1.2528691919493253
Lille-Lesquin Airport,LFQQ,1.2520214763127426
Yaoundé Nsimalen International Airport,FKYS,1.2499464732263157
Campo Grande Airport,SBCG,1.2460301259015807
Waskaganish Airport,CYKQ,1.2436166571337008
Paphos International Airport,LCPH,1.2421545756299321
Lifou Airport,NWWL,1.2405464940916584
Da Nang International Airport,VVDN,1.2370878211207825
Qaqortoq Heliport,BGJH,1.2306350474156207
Ingeniero Ambrosio Taravella Airport,SACO,1.2286632770932433
Owen Roberts International Airport,MWCR,1.2283857518947965
El Plumerillo Airport,SAME,1.2262912262746248
Rangiroa Airport,NTTG,1.223955183470589
Big Trout Lake Airport,CYTL,1.222766625147617
Enfidha - Hammamet International Airport,DTNH,1.2213511159518649
Pointe-à-Pitre Le Raizet,TFFR,1.220554942678606
Richmond International Airport,KRIC,1.22043716948934
Hammerfest Airport,ENHF,1.2124190245339155
Cyril E. King Airport,TIST,1.210088212193919
Roshchino International Airport,USTR,1.2000283099122004
Albany International Airport,KALB,1.1966872532340709
Norfolk International Airport,KORF,1.1933770831226018
Tenerife Norte Airport,GCXO,1.191320012052222
Turin Airport,LIMF,1.188768456655104
Sharm El Sheikh International Airport,HESH,1.1801609063754006
Libreville Leon M'ba International Airport,FOOL,1.1785694020397208
Bandar Abbas International Airport,OIKB,1.177484600832299
Phnom Penh International Airport,VDPP,1.1761910518435423
Maestro Wilson Fonseca Airport,SBSN,1.1748126276394
Sunan Shuofang International Airport,ZSWX,1.1745790405050494
Jersey Airport,EGJJ,1.1721522739525365
Sardar Vallabhbhai Patel International Airport,VAAH,1.1680987411188881
